City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kutum,SD,75.13,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
7,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
9,Toda Raisingh,IN,85.24,clear sky,26.0252,75.4849,Sohil king of 04
10,Mana,GF,77.5,light rain,5.6592,-53.7767,LE SAMANA
15,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
16,Butaritari,KI,82.18,broken clouds,3.0707,172.7902,Isles Sunset Lodge
19,Nabire,ID,85.33,broken clouds,-3.3667,135.4833,Hotel Nusantara I
22,Puerto Escondido,MX,78.71,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
25,Kavaratti,IN,81.86,overcast clouds,10.5669,72.642,Green leaf
36,Sao Filipe,CV,78.78,light rain,14.8961,-24.4956,Hotel Xaguate
41,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
49,Itarema,BR,77.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
56,Barra Do Garcas,BR,75.88,clear sky,-15.89,-52.2567,Pousada Tropical
57,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
59,Lar,IN,76.78,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
61,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
62,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
66,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
69,Sur,OM,81.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
71,Akyab,MM,84.49,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
74,Thanh Hoa,VN,83.82,scattered clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
77,Alofi,NU,76.95,light rain,-19.0595,-169.9187,Taloa Heights
80,Hasaki,JP,88.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
84,Ryotsu,JP,77.97,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
86,Ishigaki,JP,81.86,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
88,Bontang,ID,84.47,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
89,Kaya,BF,79.57,clear sky,13.0917,-1.0844,Maison de l'appelé
95,Jati,PK,83.35,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
96,Khed,IN,78.48,overcast clouds,17.7167,73.3833,Swagat Lodge
97,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
100,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Oyama,JP,85.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
107,Bengkulu,ID,82.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Dwarka,IN,82.2,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
121,Kampot,KH,86.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
122,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
129,Kieta,PG,83.55,light rain,-6.2167,155.6333,Uruna Bay Retreat
130,Noumea,NC,76.98,few clouds,-22.2763,166.4572,Hôtel Le Lagon
132,Marawi,PH,80.92,overcast clouds,7.9986,124.2928,Derogongan Residence
138,Mogadishu,SO,77.38,scattered clouds,2.0371,45.3438,Hotel Juba
139,Mahajanga,MG,75.22,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
146,Srivardhan,IN,79.99,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
148,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
