City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.66,75,0,1.14,clear sky
1,Mataura,NZ,-46.1927,168.8643,41.79,99,99,6.13,light rain
2,Kutum,SD,14.2,24.6667,75.13,26,77,8.01,broken clouds
3,Hobart,AU,-42.8794,147.3294,55.26,59,40,13.8,scattered clouds
4,Nahrin,AF,36.0649,69.1334,66.52,31,0,1.81,clear sky
5,Qaanaaq,GL,77.484,-69.3632,17.73,73,100,5.73,overcast clouds
6,Lompoc,US,34.6391,-120.4579,62.02,91,0,9.22,clear sky
7,Avarua,CK,-21.2078,-159.775,77.05,78,40,21.85,scattered clouds
8,Severo-Kurilsk,RU,50.6789,156.125,53.46,72,99,19.08,overcast clouds
9,Toda Raisingh,IN,26.0252,75.4849,85.24,43,4,13.4,clear sky
10,Mana,GF,5.6592,-53.7767,77.5,88,95,7.4,light rain
11,Shenjiamen,CN,29.9576,122.298,74.95,87,86,23.91,overcast clouds
12,Sisimiut,GL,66.9395,-53.6735,32.05,81,100,7.47,overcast clouds
13,Bethel,US,41.3712,-73.414,50.09,72,100,6.91,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,71.64,66,59,21.3,broken clouds
15,Atuona,PF,-9.8,-139.0333,77.04,73,44,19.66,scattered clouds
16,Butaritari,KI,3.0707,172.7902,82.18,73,56,14.16,broken clouds
17,Lebu,CL,-37.6167,-73.65,51.28,95,97,10.76,overcast clouds
18,Solnechnyy,RU,50.7214,136.6319,35.78,66,100,12.03,overcast clouds
19,Nabire,ID,-3.3667,135.4833,85.33,68,81,5.91,broken clouds
20,Casino,AU,-28.8667,153.05,73.78,45,9,3.65,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,41,4.0,scattered clouds
22,Puerto Escondido,MX,15.85,-97.0667,78.71,82,75,2.95,broken clouds
23,Clyde River,CA,70.4692,-68.5914,27.9,93,100,3.33,light snow
24,Provideniya,RU,64.3833,-173.3,41.36,81,0,7.0,clear sky
25,Kavaratti,IN,10.5669,72.642,81.86,76,100,14.16,overcast clouds
26,Necochea,AR,-38.5473,-58.7368,43.23,92,94,12.62,overcast clouds
27,Westerly,US,41.3776,-71.8273,54.84,76,100,18.99,overcast clouds
28,Nikolskoye,RU,59.7035,30.7861,46.29,95,80,4.74,broken clouds
29,Berlevag,NO,70.8578,29.0864,39.15,87,100,3.44,overcast clouds
30,Busselton,AU,-33.65,115.3333,62.4,60,0,13.29,clear sky
31,Fairbanks,US,64.8378,-147.7164,43.99,81,58,5.5,broken clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,52.09,89,100,5.99,overcast clouds
33,Novouzensk,RU,50.4592,48.1431,58.6,29,100,14.83,overcast clouds
34,Terrasini,IT,38.146,13.0844,69.22,79,0,4.61,clear sky
35,Khatanga,RU,71.9667,102.5,22.42,83,100,6.33,overcast clouds
36,Sao Filipe,CV,14.8961,-24.4956,78.78,79,100,7.56,light rain
37,Kaitangata,NZ,-46.2817,169.8464,44.1,91,92,10.4,overcast clouds
38,Abu Samrah,SY,35.3029,37.1841,70.38,83,0,3.02,clear sky
39,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,48,0,8.99,clear sky
40,Pevek,RU,69.7008,170.3133,29.32,75,100,8.75,overcast clouds
41,Kapaa,US,22.0752,-159.319,79.12,72,20,12.66,few clouds
42,Souillac,MU,-20.5167,57.5167,73.78,73,40,12.66,light rain
43,Aleksandrov Gay,RU,50.147,48.5704,58.05,28,99,14.52,overcast clouds
